,word,negative,positive,uncertainty,litigious,constraining,superfluous,interesting
698,acquirors,False,False,False,True,False,False,False
706,acquit,True,False,False,True,False,False,False
707,acquits,True,False,False,True,False,False,False
708,acquittal,True,False,False,True,False,False,False
710,acquittance,False,False,False,True,False,False,False
712,acquitted,True,False,False,True,False,False,False
713,acquitting,True,False,False,True,False,False,False
858,addendum,False,False,False,True,False,False,False
906,adequately,False,True,False,False,False,False,False
940,adjourn,False,False,False,True,False,False,False
941,adjourned,False,False,False,True,False,False,False
942,adjourning,False,False,False,True,False,False,False
943,adjournment,False,False,False,True,False,False,False
945,adjourns,False,False,False,True,False,False,False
946,adjudge,False,False,False,True,False,False,False
947,adjudged,False,False,False,True,False,False,False
948,adjudges,False,False,False,True,False,False,False
949,adjudging,False,False,False,True,False,False,False
950,adjudicate,False,False,False,True,False,False,False
951,adjudicated,False,False,False,True,False,False,False
952,adjudicates,False,False,False,True,False,False,False
953,adjudicating,False,False,False,True,False,False,False
954,adjudication,False,False,False,True,False,False,False
956,adjudicative,False,False,False,True,False,False,False
957,adjudicator,False,False,False,True,False,False,False
959,adjudicatory,False,False,False,True,False,False,False
1017,admissibility,False,False,False,True,False,False,False
1018,admissible,False,False,False,True,False,False,False
1019,admissibly,False,False,False,True,False,False,False
1020,admission,False,False,False,True,False,False,False
1113,adulterate,True,False,False,False,False,False,False
1114,adulterated,True,False,False,False,False,False,False
1116,adulterating,True,False,False,False,False,False,False
1117,adulteration,True,False,False,False,False,False,False
1137,advancement,False,True,False,False,False,False,False
1139,advance,False,True,False,False,False,False,False
1140,advancing,False,True,False,False,False,False,False
1141,advantage,False,True,False,False,False,False,False
1142,advantaged,False,True,False,False,False,False,False
1143,advantageous,False,True,False,False,False,False,False
1144,advantageously,False,True,False,False,False,False,False
1169,adversarial,True,False,False,False,False,False,False
1170,adversary,True,False,False,False,False,False,False
1172,adverse,True,False,False,False,False,False,False
1173,adversely,True,False,False,False,False,False,False
1178,adversity,True,False,False,False,False,False,False
1231,aegis,False,False,False,False,False,True,False
1307,affidavit,False,False,False,True,False,False,False
1318,affirmance,False,False,False,True,False,False,False
1359,affreightment,False,False,False,True,False,False,False
1374,aforedescribed,False,False,False,True,False,False,False
1375,aforementioned,False,False,False,True,False,False,False
1376,aforesaid,False,False,False,True,False,False,False
1377,aforestated,False,False,False,True,False,False,False
1400,aftermath,True,False,False,False,False,False,False
1419,against,True,False,False,False,False,False,False
1468,aggravate,True,False,False,False,False,False,False
1469,aggravated,True,False,False,False,False,False,False
1470,aggravates,True,False,False,False,False,False,False
1471,aggravating,True,False,False,False,False,False,False
1473,aggravation,True,False,False,False,False,False,False
1485,aggressive,False,False,False,False,False,False,True
1486,aggressively,False,False,False,False,False,False,True
1487,aggressiveness,False,False,False,False,False,False,True
1492,aggrieved,False,False,False,True,False,False,False
1756,alerted,True,False,False,False,False,False,False
1757,alerting,True,False,False,False,False,False,False
1789,alienate,True,False,False,False,False,False,False
1790,alienated,True,False,False,False,False,False,False
1791,alienates,True,False,False,False,False,False,False
1792,alienating,True,False,False,False,False,False,False
1793,alienation,True,False,False,False,False,False,False
1850,allegation,True,False,False,True,False,False,False
1852,allege,True,False,False,True,False,False,False
1853,alleged,True,False,False,True,False,False,False
1854,allegedly,True,False,False,True,False,False,False
1855,alleges,True,False,False,True,False,False,False
1858,alleging,True,False,False,True,False,False,False
1893,alliance,False,True,False,False,False,False,False
1973,almost,False,False,True,False,False,False,False
2023,alteration,False,False,True,False,False,False,False
2131,ambiguity,False,False,True,False,False,False,False
2133,ambiguous,False,False,True,False,False,False,False
2190,amend,False,False,False,True,False,False,False
2191,amendable,False,False,False,True,False,False,False
2192,amendatory,False,False,False,True,False,False,False
2193,amended,False,False,False,True,False,False,False
2194,amending,False,False,False,True,False,False,False
2195,amendment,False,False,False,True,False,False,False
2197,amends,False,False,False,True,False,False,False
2274,amorphous,False,False,False,False,False,True,False
2683,annoy,True,False,False,False,False,False,False
2684,annoyance,True,False,False,False,False,False,False
2686,annoyed,True,False,False,False,False,False,False
2687,annoying,True,False,False,False,False,False,False
2689,annoys,True,False,False,False,False,False,False
2706,annul,True,False,False,False,False,False,False
2708,annulled,True,False,False,False,False,False,False
2709,annulling,True,False,False,False,False,False,False
2710,annulment,True,False,False,False,False,False,False
2712,annuls,True,False,False,False,False,False,False
2730,anomaly,True,False,True,False,False,False,False
2731,anomalous,True,False,True,False,False,False,False
2732,anomalously,True,False,True,False,False,False,False
2776,antecedent,False,False,False,True,False,False,False
2848,anticipate,False,False,True,False,False,False,False
2849,anticipated,False,False,True,False,False,False,False
2850,anticipates,False,False,True,False,False,False,False
2851,anticipating,False,False,True,False,False,False,False
2852,anticipation,False,False,True,False,False,False,False
2854,anticipatory,False,False,False,False,False,True,False
2869,anticompetitive,True,False,False,False,False,False,False
2870,anticorruption,False,False,False,True,False,False,False
2987,antitrust,True,False,False,True,False,False,False
3029,anywise,False,False,False,True,False,False,False
3150,apparent,False,False,True,False,False,False,False
3151,apparently,False,False,True,False,False,False,False
3154,appeal,False,False,False,True,False,False,False
3155,appealable,False,False,False,True,False,False,False
3156,appealed,False,False,False,True,False,False,False
3157,appealing,False,False,False,True,False,False,False
3160,appear,False,False,True,False,False,False,False
3163,appeared,False,False,True,False,False,False,False
3164,appearing,False,False,True,False,False,False,False
3165,appears,False,False,True,False,False,False,False
3174,appellant,False,False,False,True,False,False,False
3176,appellate,False,False,False,True,False,False,False
3179,appellees,False,False,False,True,False,False,False
3195,appertaining,False,False,False,False,False,True,False
3249,appointor,False,False,False,True,False,False,False
3343,approximate,False,False,True,False,False,False,False
3344,approximated,False,False,True,False,False,False,False
3345,approximately,False,False,True,False,False,False,False
3346,approximates,False,False,True,False,False,False,False
3347,approximating,False,False,True,False,False,False,False
3348,approximation,False,False,True,False,False,False,False
3350,appurtenance,False,False,False,True,False,False,False
3352,appurtenant,False,False,False,True,False,False,False
3408,arbitrability,False,False,False,True,False,False,False
3418,arbitral,False,False,False,True,False,False,False
3421,arbitrarily,False,False,True,False,False,False,False
3422,arbitrariness,False,False,True,False,False,False,False
3424,arbitrary,False,False,True,False,False,False,False
3425,arbitrate,False,False,False,True,False,False,False
3426,arbitrated,False,False,False,True,False,False,False
3427,arbitrates,False,False,False,True,False,False,False
3428,arbitrating,False,False,False,True,False,False,False
3429,arbitration,False,False,False,True,False,False,False
3430,arbitrational,False,False,False,True,False,False,False
3432,arbitrative,False,False,False,True,False,False,False
3433,arbitrator,False,False,False,True,False,False,False
3562,argue,True,False,False,False,False,False,False
3563,argued,True,False,False,False,False,False,False
3567,arguing,True,False,False,False,False,False,False
3568,argument,True,False,False,False,False,False,False
3571,argumentative,True,False,False,False,False,False,False
3690,arrearage,True,False,False,True,False,False,False
3691,arrearages,True,False,False,True,False,False,False
3692,arrears,True,False,False,False,False,False,False
3693,arrest,True,False,False,False,False,False,False
3694,arrested,True,False,False,False,False,False,False
3784,artificially,True,False,False,False,False,False,False
3816,asbestos,False,False,False,False,False,False,True
3822,ascendancy,False,False,False,True,False,False,False
3823,ascendant,False,False,False,True,False,False,False
3961,assault,True,False,False,False,False,False,False
3962,assaulted,True,False,False,False,False,False,False
3963,assaulting,True,False,False,False,False,False,False
3990,assertable,False,False,False,True,False,False,False
3994,assertion,True,False,False,False,False,False,False
4029,assignation,False,False,False,True,False,False,False
4042,assimilate,False,False,False,False,False,True,False
4045,assimilating,False,False,False,False,False,True,False
4046,assimilation,False,False,False,False,False,True,False
4080,assumable,False,False,False,True,False,False,False
4081,assume,False,False,True,False,False,False,False
4082,assumed,False,False,True,False,False,False,False
4083,assumes,False,False,True,False,False,False,False
4084,assuming,False,False,True,False,False,False,False
4085,assumption,False,False,True,False,False,False,False
4090,assure,False,True,False,False,False,False,False
4091,assured,False,True,False,False,False,False,False
4094,assures,False,True,False,False,False,False,False
4095,assuring,False,True,False,False,False,False,False
4270,attain,False,True,False,False,False,False,False
4276,attained,False,True,False,False,False,False,False
4277,attaining,False,True,False,False,False,False,False
4278,attainment,False,True,False,False,False,False,False
4280,attains,False,True,False,False,False,False,False
4310,attest,False,False,False,True,False,False,False
4311,attestation,False,False,False,True,False,False,False
4313,attested,False,False,False,True,False,False,False
4314,attesting,False,False,False,True,False,False,False
4329,attorn,False,False,False,True,False,False,False
4330,attorney,False,False,False,True,False,False,False
4332,attornment,False,False,False,True,False,False,False
4333,attorns,False,False,False,True,False,False,False
4342,attractive,False,True,False,False,False,False,False
4344,attractiveness,False,True,False,False,False,False,False
4357,attrition,True,False,False,False,False,False,False
4443,august,False,False,False,False,False,False,True
4642,aversely,True,False,False,False,False,False,False
4860,backdating,True,False,False,False,False,False,False
5020,bad,True,False,False,False,False,False,False
5088,bail,True,False,False,True,False,False,False
5090,bailed,False,False,False,True,False,False,False
5091,bailee,False,False,False,True,False,False,False
5093,bailiff,False,False,False,True,False,False,False
5098,bailment,False,False,False,True,False,False,False
5099,bailout,True,False,False,False,False,False,False
5166,balk,True,False,False,False,False,False,False
5167,balked,True,False,False,False,False,False,False
5249,ban,False,False,False,False,False,False,True
5339,bankrupt,True,False,False,False,False,False,False
5340,bankruptcy,True,False,False,False,False,False,False
5342,bankrupted,True,False,False,False,False,False,False
5343,bankrupting,True,False,False,False,False,False,False
5560,barred,True,False,False,False,False,False,False
5580,barrier,True,False,False,False,False,False,False
5942,beautiful,False,True,False,False,False,False,False
5943,beautifully,False,True,False,False,False,False,False
6255,believe,False,False,True,False,False,False,False
6256,believed,False,False,True,False,False,False,False
6259,belief,False,False,True,False,False,False,False
6260,believing,False,False,True,False,False,False,False
6375,beneficial,False,True,False,False,False,False,False
6376,beneficially,False,True,False,False,False,False,False
6379,beneficiated,False,False,False,True,False,False,False
6380,beneficiation,False,False,False,True,False,False,False
6381,benefit,False,True,False,False,False,False,False
6382,benefited,False,True,False,False,False,False,False
6383,benefiting,False,True,False,False,False,False,False
6385,benefitted,False,True,False,False,False,False,False
6386,benefitting,False,True,False,False,False,False,False
6504,best,False,True,False,False,False,False,False
6578,better,False,True,False,False,False,False,False
6715,bifurcated,False,False,False,False,False,True,False
6718,bifurcation,False,False,False,False,False,True,False
6990,bioterrorism,False,False,False,False,False,False,True
7902,bolstered,False,True,False,False,False,False,False
7903,bolstering,False,True,False,False,False,False,False
7904,bolster,False,True,False,False,False,False,False
7936,bona,False,False,False,True,False,False,False
7937,bonafide,False,False,False,True,False,False,False
8079,boom,False,True,False,False,False,False,False
8089,booming,False,True,False,False,False,False,False
8108,boost,False,True,False,False,False,False,False
8109,boosted,False,True,False,False,False,False,False
8235,bottleneck,True,False,False,False,False,False,False
8282,bound,False,False,False,False,True,False,False
8285,bounded,False,False,False,False,True,False,False
8377,boycott,True,False,False,False,False,False,False
8378,boycotted,True,False,False,False,False,False,False
8379,boycotting,True,False,False,False,False,False,False
8576,breach,True,False,False,True,False,False,False
8577,breached,True,False,False,True,False,False,False
8579,breaching,True,False,False,True,False,False,False
8601,break,True,False,False,False,False,False,False
8604,breakage,True,False,False,False,False,False,False
8608,breakdown,True,False,False,False,False,False,False
8620,breaking,True,False,False,False,False,False,False
8628,breakthrough,False,True,False,False,False,False,False
8719,bribe,True,False,False,False,False,False,False
8720,bribed,True,False,False,False,False,False,False
8722,bribery,True,False,False,False,False,False,False
8726,bribing,True,False,False,False,False,False,False
8747,bridge,True,False,False,False,False,False,True
8805,brilliant,False,True,False,False,False,False,False
8933,broken,True,False,False,False,False,False,False
9433,burden,True,False,False,False,False,False,False
9434,burdened,True,False,False,False,False,False,False
9435,burdening,True,False,False,False,False,False,False
9437,burdensome,True,False,False,False,False,False,False
9508,burned,True,False,False,False,False,False,False
9934,calamity,True,False,False,False,False,False,False
9935,calamitous,True,False,False,False,False,False,False
10200,cancel,True,False,False,False,False,False,False
10204,canceled,True,False,False,False,False,False,False
10207,canceling,True,False,False,False,False,False,False
10209,cancellation,True,False,False,False,False,False,False
10211,cancelled,True,False,False,False,False,False,False
10214,cancelling,True,False,False,False,False,False,False
10217,cancer,False,False,False,False,False,False,True
10644,careless,True,False,False,False,False,False,False
10645,carelessly,True,False,False,False,False,False,False
10646,carelessness,True,False,False,False,False,False,False
11030,catastrophe,True,False,False,False,False,False,False
11032,catastrophic,True,False,False,False,False,False,False
11033,catastrophically,True,False,False,False,False,False,False
11195,caution,True,False,False,False,False,False,False
11196,cautionary,True,False,False,False,False,False,False
11197,cautioned,True,False,False,False,False,False,False
11198,cautioning,True,False,False,False,False,False,False
11200,cautious,False,False,True,False,False,False,False
11201,cautiously,False,False,True,False,False,False,False
11202,cautiousness,False,False,True,False,False,False,False
11258,cease,True,False,False,False,False,False,False
11259,ceased,True,False,False,False,False,False,False
11267,ceasing,True,False,False,False,False,False,False
11271,cedant,False,False,False,True,False,False,False
11272,cedants,False,False,False,True,False,False,False
11368,censure,True,False,False,False,False,False,False
11369,censured,True,False,False,False,False,False,False
11373,censuring,True,False,False,False,False,False,False
11509,certiorari,False,False,False,True,False,False,False
11524,cession,False,False,False,True,False,False,False
11590,challenge,True,False,False,False,False,False,False
11591,challenged,True,False,False,False,False,False,False
11595,challenging,True,False,False,False,False,False,False
11732,chapter,False,False,False,False,False,False,True
11768,chargeoffs,True,False,False,False,False,False,False
11787,charitable,False,True,False,False,False,False,False
11864,chattel,False,False,False,True,False,False,False
12325,choate,False,False,False,True,False,False,False
12694,circumvent,True,False,False,False,False,False,False
12695,circumvented,True,False,False,False,False,False,False
12696,circumventing,True,False,False,False,False,False,False
12697,circumvention,True,False,False,False,False,False,False
12699,circumvents,True,False,False,False,False,False,False
12770,claim,False,False,False,True,False,False,False
12771,claimable,False,False,False,True,False,False,False
12772,claimant,False,False,False,True,False,False,False
12777,claimholder,False,False,False,True,False,False,False
12779,claiming,True,False,False,False,False,False,False
12859,clarification,False,False,True,False,False,False,False
12936,clawback,True,False,False,False,False,False,False
13200,closed,True,False,False,False,False,False,False
13207,closeout,True,False,False,False,False,False,False
13219,closing,True,False,False,False,False,False,False
13221,closure,True,False,False,False,False,False,False
13519,codefendant,False,False,False,True,False,False,False
13542,codicil,False,False,False,True,False,False,False
13544,codification,False,False,False,True,False,False,False
13546,codified,False,False,False,True,False,False,False
13549,codifies,False,False,False,True,False,False,False
13550,codify,False,False,False,True,False,False,False
13551,codifying,False,False,False,True,False,False,False
13569,coerce,True,False,False,False,False,False,False
13570,coerced,True,False,False,False,False,False,False
13573,coerces,True,False,False,False,False,False,False
13574,coercing,True,False,False,False,False,False,False
13575,coercion,True,False,False,False,False,False,False
13577,coercive,True,False,False,False,False,False,False
13635,cognizable,False,False,False,False,False,True,False
13746,collaborate,False,True,False,False,False,False,False
13747,collaborated,False,True,False,False,False,False,False
13748,collaborates,False,True,False,False,False,False,False
13749,collaborating,False,True,False,False,False,False,False
13750,collaboration,False,True,False,False,False,False,False
13752,collaborative,False,True,False,False,False,False,False
13755,collaborator,False,True,False,False,False,False,False
13761,collapse,True,False,False,False,False,False,False
13762,collapsed,True,False,False,False,False,False,False
13765,collapsing,True,False,False,False,False,False,False
13844,collision,True,False,False,False,False,False,False
13864,collude,True,False,False,False,False,False,False
13865,colluded,True,False,False,False,False,False,False
13866,colludes,True,False,False,False,False,False,False
13867,colluding,True,False,False,False,False,False,False
13868,collusion,True,False,False,True,False,False,False
13870,collusive,True,False,False,False,False,False,False
14165,commit,False,False,False,False,True,False,False
14166,commitment,False,False,False,False,True,False,False
14168,commits,False,False,False,False,True,False,False
14171,committed,False,False,False,False,True,False,False
14178,committing,False,False,False,False,True,False,False
14324,compel,False,False,False,False,True,False,False
14325,compelled,False,False,False,False,True,False,False
14326,compelling,False,False,False,False,True,False,False
14328,compels,False,False,False,False,True,False,False
14340,compensatory,False,False,False,True,False,False,False
14374,complain,True,False,False,False,False,False,False
14375,complainant,False,False,False,True,False,False,False
14377,complained,True,False,False,False,False,False,False
14380,complaining,True,False,False,False,False,False,False
14381,complains,True,False,False,False,False,False,False
14382,complaint,True,False,False,False,False,False,False
14420,complicate,True,False,False,False,False,False,False
14421,complicated,True,False,False,False,False,False,False
14423,complicates,True,False,False,False,False,False,False
14424,complicating,True,False,False,False,False,False,False
14425,complication,True,False,False,False,False,False,False
14432,compliment,False,True,False,False,False,False,False
14434,complimentary,False,True,False,False,False,False,False
14435,complimented,False,True,False,False,False,False,False
14436,complimenting,False,True,False,False,False,False,False
14438,comply,False,False,False,False,True,False,False
14516,compulsion,True,False,False,False,True,False,False
14524,compulsory,False,False,False,False,True,False,False
14565,concealed,True,False,False,False,False,False,False
14568,concealing,True,False,False,False,False,False,False
14572,concede,True,False,False,False,False,False,False
14573,conceded,True,False,False,False,False,False,False
14574,concedes,True,False,False,False,False,False,False
14575,conceding,True,False,False,False,False,False,False
14582,conceivable,False,False,True,False,False,False,False
14583,conceivably,False,False,True,False,False,False,False
14610,concern,True,False,False,False,False,False,False
14611,concerned,True,False,False,False,False,False,False
14612,concerning,False,False,False,False,False,False,True
14646,conciliating,True,False,False,False,False,False,False
14647,conciliation,True,False,False,False,False,False,False
14668,conclusive,False,True,False,False,False,False,False
14669,conclusively,False,True,False,False,False,False,False
14678,concomitant,False,False,False,False,False,True,False
14722,condemn,True,False,False,False,False,False,False
14723,condemnation,True,False,False,False,False,False,False
14726,condemned,True,False,False,False,False,False,False
14729,condemning,True,False,False,False,False,False,False
14730,condemnor,False,False,False,True,False,False,False
14731,condemns,True,False,False,False,False,False,False
14753,conditional,False,False,True,False,False,False,False
14755,conditionally,False,False,True,False,False,False,False
14775,condone,True,False,False,False,False,False,False
14776,condoned,True,False,False,False,False,False,False
14786,conducive,False,True,False,False,False,False,False
14853,confess,True,False,False,False,False,False,False
14854,confessed,True,False,False,False,False,False,False
14856,confesses,True,False,False,False,False,False,False
14857,confessing,True,False,False,False,False,False,False
14858,confession,True,False,False,False,False,False,False
14873,confident,False,True,False,False,False,False,False
14891,confine,True,False,False,False,True,False,False
14892,confined,True,False,False,False,True,False,False
14893,confinement,True,False,False,False,True,False,False
14895,confines,True,False,False,False,True,False,False
14896,confining,True,False,False,False,True,False,False
14905,confiscate,True,False,False,False,False,False,False
14906,confiscated,True,False,False,False,False,False,False
14907,confiscates,True,False,False,False,False,False,False
14908,confiscating,True,False,False,False,False,False,False
14909,confiscation,True,False,False,False,False,False,False
14913,confiscatory,False,False,False,True,False,False,False
14922,conflict,True,False,False,False,False,False,False
14923,conflicted,True,False,False,False,False,False,False
14924,conflicting,True,False,False,False,False,False,False
14955,confront,True,False,False,False,False,False,False
14956,confrontation,True,False,False,False,False,False,False
14957,confrontational,True,False,False,False,False,False,False
14959,confronted,True,False,False,False,False,False,False
14960,confronting,True,False,False,False,False,False,False
14961,confronts,True,False,False,False,False,False,False
14962,confuse,True,False,False,False,False,False,False
14963,confused,True,False,False,False,False,False,False
14965,confuses,True,False,True,False,False,False,False
14966,confusing,True,False,True,False,False,False,False
14967,confusingly,True,False,True,False,False,False,False
14968,confusion,True,False,True,False,False,False,False
15190,consent,False,False,False,True,False,False,False
15191,consented,False,False,False,True,False,False,False
15192,consenting,False,False,False,True,False,False,False
15218,conservatorships,False,False,False,True,False,False,False
15296,conspiracy,True,False,False,False,False,False,False
15298,conspirator,True,False,False,False,False,False,False
15299,conspiratorial,True,False,False,False,False,False,False
15302,conspire,True,False,False,False,False,False,False
15303,conspired,True,False,False,False,False,False,False
15304,conspires,True,False,False,False,False,False,False
15305,conspiring,True,False,False,False,False,False,False
15333,constitution,False,False,False,True,False,False,False
15334,constitutional,False,False,False,True,False,False,False
15336,constitutionality,False,False,False,True,False,False,False
15337,constitutionally,False,False,False,True,False,False,False
15340,constitutive,False,False,False,True,False,False,False
15341,constrain,False,False,False,False,True,False,False
15342,constrained,False,False,False,False,True,False,False
15343,constraining,False,False,False,False,True,False,False
15344,constrains,False,False,False,False,True,False,False
15345,constraint,False,False,False,False,True,False,False
15366,constructive,False,True,False,False,False,False,False
15367,constructively,False,True,False,False,False,False,False
15373,construe,False,False,False,True,False,False,False
15374,construed,False,False,False,True,False,False,False
15375,construes,False,False,False,True,False,False,False
15376,construing,False,False,False,True,False,False,False
15457,contaminated,False,False,False,False,False,False,True
15483,contempt,True,False,False,False,False,False,False
15491,contend,True,False,False,False,False,False,False
15492,contended,True,False,False,False,False,False,False
15496,contending,True,False,False,False,False,False,False
15498,contends,True,False,False,False,False,False,False
15505,contention,True,False,False,False,False,False,False
15507,contentious,True,False,False,False,False,False,False
15508,contentiously,True,False,False,False,False,False,False
15518,contestability,False,False,False,True,False,False,False
15522,contestation,False,False,False,True,False,False,False
15523,contested,True,False,False,False,False,False,False
15524,contesting,True,False,False,False,False,False,False
15525,contest,False,False,False,False,False,False,True
15544,contingency,False,False,True,False,False,False,False
15546,contingent,False,False,True,False,False,False,False
15547,contingently,False,False,True,False,False,False,False
15585,contract,False,False,False,True,False,False,False
15586,contracted,False,False,False,True,False,False,False
15587,contractholder,False,False,False,True,False,False,False
15588,contractholders,False,False,False,True,False,False,False
15589,contractible,False,False,False,True,False,False,False
15590,contractile,False,False,False,True,False,False,False
15591,contracting,False,False,False,True,False,False,False
15592,contraction,True,False,False,False,False,False,False
15597,contractual,False,False,False,True,False,False,False
15598,contractually,False,False,False,True,False,False,False
15602,contradict,True,False,False,False,False,False,False
15603,contradicted,True,False,False,False,False,False,False
15604,contradicting,True,False,False,False,False,False,False
15605,contradiction,True,False,False,False,False,False,False
15607,contradictory,True,False,False,False,False,False,False
15608,contradicts,True,False,False,False,False,False,False
15633,contrary,True,False,False,False,False,False,False
15638,contravene,False,False,False,True,False,False,False
15639,contravened,False,False,False,True,False,False,False
15640,contravenes,False,False,False,True,False,False,False
15641,contravening,False,False,False,True,False,False,False
15642,contravention,False,False,False,True,False,False,False
15679,controversial,True,False,False,False,False,False,False
15681,controversy,True,False,False,False,False,False,False
15683,controvert,False,False,False,True,False,False,False
15684,controverted,False,False,False,True,False,False,False
15686,controverting,False,False,False,True,False,False,False
15725,conveniens,False,False,False,True,False,False,False
15783,conveyance,False,False,False,True,False,False,False
15793,convict,True,False,False,True,False,False,False
15794,convicted,True,False,False,True,False,False,False
15795,convicting,True,False,False,True,False,False,False
15796,conviction,True,False,False,True,False,False,False
15875,cooperated,False,False,False,False,False,False,True
16138,corrected,True,False,False,False,False,False,False
16141,correcting,True,False,False,False,False,False,False
16142,correction,True,False,False,False,False,False,False
16150,corrects,True,False,False,False,False,False,False
16157,correlative,False,False,False,False,False,True,False
16197,corrupt,True,False,False,False,False,False,False
16198,corrupted,True,False,False,False,False,False,False
16204,corrupting,True,False,False,False,False,False,False
16205,corruption,True,False,False,False,False,False,False
16208,corruptly,True,False,False,False,False,False,False
16209,corruptness,True,False,False,False,False,False,False
16307,costly,True,False,False,False,False,False,False
16322,coterminous,False,False,False,True,False,False,False
16360,could,False,False,True,False,False,False,False
16377,counsel,False,False,False,True,False,False,False
16378,counseled,False,False,False,True,False,False,False
16380,counselled,False,False,False,True,False,False,False
16412,counterclaim,True,False,False,False,False,False,False
16413,counterclaimed,True,False,False,False,False,False,False
16414,counterclaiming,True,False,False,False,False,False,False
16423,counterfeit,True,False,False,False,False,False,False
16424,counterfeited,True,False,False,False,False,False,False
16425,counterfeiter,True,False,False,False,False,False,False
16427,counterfeiting,True,False,False,False,False,False,False
16442,countermeasure,True,False,False,False,False,False,False
16475,countersignor,False,False,False,True,False,False,False
16482,countersued,False,False,False,True,False,False,False
16483,countersuit,False,False,False,True,False,False,False
16548,court,False,False,False,True,False,False,False
16550,courteous,False,True,False,False,False,False,False
16568,courtroom,False,False,False,True,False,False,False
16586,covenant,False,False,False,False,True,False,False
16587,covenanted,False,False,False,False,True,False,False
16588,covenanting,False,False,False,False,True,False,False
16920,creative,False,True,False,False,False,False,False
16921,creatively,False,True,False,False,False,False,False
16922,creativeness,False,True,False,False,False,False,False
16926,creativity,False,True,False,False,False,False,False
17075,crime,True,False,False,True,False,False,False
17077,criminal,True,False,False,True,False,False,False
17079,criminality,False,False,False,True,False,False,False
17080,criminalize,False,False,False,True,False,False,False
17081,criminalizing,False,False,False,True,False,False,False
17082,criminally,True,False,False,True,False,False,False
17115,crisis,True,False,False,False,False,False,False
17139,critical,True,False,False,False,False,False,False
17141,critically,True,False,False,False,False,False,False
17142,criticism,True,False,False,False,False,False,False
17144,criticize,True,False,False,False,False,False,False
17145,criticized,True,False,False,False,False,False,False
17148,criticizes,True,False,False,False,False,False,False
17149,criticizing,True,False,False,False,False,False,False
17238,crossclaim,False,False,False,True,False,False,False
17239,crossclaims,False,False,False,True,False,False,False
17270,crossroad,False,False,True,False,False,False,False
17327,crucial,True,False,False,False,False,False,False
17328,crucially,True,False,False,False,False,False,False
17561,culpability,True,False,False,False,False,False,False
17562,culpable,True,False,False,False,False,False,False
17563,culpably,True,False,False,False,False,False,False
